bootstrap_sample,n_node,cv_loss
0,9,0.0029474576644977365
1,9,0.0029933133257934487
2,9,0.0029619113832545906
3,9,0.002950937137449013
4,8,0.0029879773109083105
5,8,0.002950351792745865
6,8,0.002972195910990491
7,11,0.00303258783714414
8,9,0.0029449780839294858
9,8,0.0029157549132989703
10,8,0.0029991719193770056
11,8,0.0029522145139965644
12,8,0.0029661036836125987
13,9,0.003008514169466445
14,9,0.002941801551086225
15,8,0.003032726221126982
16,8,0.002995602974161795
17,9,0.0029520240998486195
18,8,0.002979005351152018
19,9,0.002972889453156993
20,8,0.002995888646863447
21,11,0.0030114189497768306
22,8,0.0029923743471109675
23,8,0.002992517396419761
24,9,0.003010388747930075
25,9,0.002943763003377837
26,12,0.002998730477300695
27,8,0.003018264744962008
28,9,0.0029833467338827102
29,9,0.0029914945193095337
30,8,0.0029687084213362034
31,9,0.002981599594684357
32,8,0.00294545911023891
33,9,0.002988934888161923
34,8,0.002993071562628053
35,9,0.002985843661026181
36,9,0.002954668998356583
37,8,0.0029105104287928288
38,8,0.002922959356052743
39,8,0.002938345819795993
40,8,0.003013485524097869
41,13,0.0029799272513847393
42,11,0.002971162404099248
43,8,0.0029234507471737944
44,8,0.0030299977950390554
45,8,0.00293875676333255
46,12,0.0029382636997812754
47,8,0.00294750424709818
48,8,0.0029782663727884445
49,9,0.002935293102952636
50,8,0.0029103710089492234
51,8,0.0029642321649932077
52,8,0.003012941545126008
53,9,0.002907960614466825
54,8,0.0030389202880736405
55,9,0.0029759300264305933
56,9,0.0029208930480045165
57,8,0.0029253894284081003
58,9,0.002953374025124248
59,9,0.002971619748418067
60,9,0.002978742351265389
61,8,0.002903647832894088
62,8,0.002933385470248915
63,8,0.002886898473233861
64,11,0.0029342650029428787
65,11,0.002943580947940845
66,8,0.0029394265096996304
67,8,0.0029365608525267124
68,13,0.0030032143042659143
69,8,0.002996492101951982
70,9,0.003006852518458582
71,8,0.0030163815632148322
72,8,0.002953093813734535
73,8,0.002970081165161877
74,8,0.003012288961298584
75,8,0.002973341415959813
76,8,0.002958022955670414
77,13,0.003015625570193561
78,8,0.0029621956065812487
79,8,0.0029237867565825577
80,8,0.0028999219305851677
81,8,0.0030298830370145803
82,8,0.0029956500169795305
83,11,0.0029254436883429658
84,8,0.002920061954657085
85,9,0.0029239388534790306
86,9,0.002979494560574766
87,8,0.002957307468462098
88,8,0.002930324594165875
89,9,0.0030189845423616466
90,9,0.0030394593207109426
91,9,0.0029824691667304703
92,9,0.002934217179728845
93,11,0.002958823291956488
94,13,0.0029728964220539227
95,9,0.002972909344243113
96,8,0.0029861186376872787
97,8,0.0029403030998260693
98,9,0.0029440543314372385
99,8,0.0030222953797981976
100,8,0.0029718004923638573
101,8,0.002985098976986828
102,9,0.003027819408189775
103,8,0.002997270106404688
104,8,0.002911421820924909
105,8,0.003019070777522244
106,8,0.0028701955640075987
107,9,0.0029221109585879325
108,9,0.002997047880447461
109,9,0.0029786683708257645
110,9,0.00300421564510577
111,9,0.002872201980059439
112,8,0.0029788757550386893
113,9,0.0029413076147962033
114,8,0.0030125989236018482
115,9,0.00296885077115729
116,9,0.002938258923132887
117,8,0.0029979240008596963
118,9,0.0030364401307171928
119,8,0.0029221638244517306
120,11,0.0029407821829198627
121,8,0.0029800317710226127
122,8,0.0029807961728469125
123,9,0.002959134870241458
124,9,0.0030684311614504237
125,8,0.002981835492682439
126,9,0.0028762962099051835
127,8,0.002952631858464044
128,9,0.002936155486028068
129,9,0.002928595230712191
130,11,0.003005436880663573
131,8,0.0029876781425926605
132,8,0.002917069109119721
133,8,0.0029885130541959137
134,12,0.003008465558398985
135,11,0.0030383536822033977
136,8,0.0029464447618047047
137,9,0.002948345216036131
138,8,0.0029367514973695297
139,8,0.002901187199289188
140,8,0.0029498917361100514
141,8,0.002943714288088273
142,8,0.0029840362828279354
143,12,0.002927683576912369
144,8,0.0029465965110554155
145,8,0.002976888350873109
146,8,0.003001723957027574
147,9,0.002999680014236529
148,9,0.002967872368481314
149,8,0.002991723603962448
150,9,0.002921891516331841
151,8,0.0029616612719915235
152,9,0.0030226488281656677
153,8,0.002912700656496073
154,9,0.002917982065062745
155,13,0.003019707697902375
156,9,0.0029304461317072885
157,8,0.0030002032981757713
158,8,0.0029968651877322673
159,8,0.0030253491983495183
160,8,0.0029343434361566744
161,8,0.0029998094090545662
162,9,0.002972366293058829
163,9,0.002945334130794387
164,8,0.002984328328116918
165,9,0.0029826882759848355
166,11,0.003037653936452903
167,8,0.0029623478399595253
168,8,0.00295802243683413
169,13,0.002974844604400374
170,11,0.002990362608967268
171,9,0.003009897561225593
172,9,0.0029876849153972675
173,13,0.002951953293537645
174,8,0.002979480646288774
175,8,0.0029616685165036317
176,8,0.0028376208863338573
177,9,0.002879888087296657
178,8,0.00295998138241776
179,8,0.002999777053053378
180,9,0.002947827610212648
181,8,0.0030126579277755714
182,11,0.002979123732786245
183,8,0.003005808630521449
184,8,0.002966489267532711
185,8,0.003019985654799329
186,9,0.0029679381471333856
187,8,0.0029599627500550363
188,8,0.00295046422340325
189,9,0.0029975085543762696
190,8,0.003002336360469254
191,8,0.002986826850101352
192,8,0.0029889327638124696
193,11,0.002999590205245135
194,8,0.0030074509171148143
195,8,0.0029568248617640558
196,8,0.0030519335962534318
197,9,0.0030091479426320017
198,9,0.002930031128437649
199,11,0.0029520849976130943
